|circuitId|url|circuitName|Location.lat|Location.long|Location.locality|Location.country|season|round|date|time|race name|fastest|mean_s|median_s|std dev_s|mean_p|median_p|std dev_p
0|monaco|http://en.wikipedia.org/wiki/2014_Monaco_Grand_Prix|Circuit de Monaco|43.7347|7.42056|Monte-Carlo|Monaco|2014|6|2014-05-25|12:00:00Z|Monaco Grand Prix|75.989|78.03077272727272|77.868|1.3907014308243757|102.68693196024786|102.47272631565095|1.830135191704558
0|villeneuve|http://en.wikipedia.org/wiki/2014_Canadian_Grand_Prix|Circuit Gilles Villeneuve|45.5|-73.5228|Montreal|Canada|2014|7|2014-06-08|18:00:00Z|Canadian Grand Prix|74.874|76.68538095238094|76.3|1.3846305816422828|102.41923892456788|101.90453294868713|1.8492809007696716
0|red_bull_ring|http://en.wikipedia.org/wiki/2014_Austrian_Grand_Prix|Red Bull Ring|47.2197|14.7647|Spielberg|Austria|2014|8|2014-06-22|12:00:00Z|Austrian Grand Prix|68.759|70.09777272727274|69.767|1.0724485527373337|101.94705089846092|101.46598990677583|1.5597209859615946
0|silverstone|http://en.wikipedia.org/wiki/2014_British_Grand_Prix|Silverstone Circuit|52.0786|-1.01694|Silverstone|UK|2014|9|2014-07-06|12:00:00Z|British Grand Prix|94.87|100.66995454545454|98.60249999999999|4.647836675243684|106.11358126431384|103.93433119004953|4.899163777003989
0|hockenheimring|http://en.wikipedia.org/wiki/2014_German_Grand_Prix|Hockenheimring|49.3278|8.56583|Hockenheim|Germany|2014|10|2014-07-20|12:00:00Z|German Grand Prix|76.54|78.33719047619047|78.193|1.1514082516226647|102.34804086254306|102.15965508230988|1.504322251924044
0|hungaroring|http://en.wikipedia.org/wiki/2014_Hungarian_Grand_Prix|Hungaroring|47.5789|19.2486|Budapest|Hungary|2014|11|2014-07-27|12:00:00Z|Hungarian Grand Prix|82.715|85.07669999999999|84.6765|1.6062015702303758|102.85522577525236|102.37139575651332|1.9418504143509354
0|spa|http://en.wikipedia.org/wiki/2014_Belgian_Grand_Prix|Circuit de Spa-Francorchamps|50.4372|5.97139|Spa|Belgium|2014|12|2014-08-24|12:00:00Z|Belgian Grand Prix|125.591|129.80640909090909|129.591|2.3563927366712916|103.35645793958889|103.1849415961335|1.876243310962801
0|monza|http://en.wikipedia.org/wiki/2014_Italian_Grand_Prix|Autodromo Nazionale di Monza|45.6156|9.28111|Monza|Italy|2014|13|2014-09-07|12:00:00Z|Italian Grand Prix|84.109|86.20154545454545|86.09|1.2578183201110276|102.48789719833245|102.3552770809307|1.4954622217729714
0|marina_bay|http://en.wikipedia.org/wiki/2014_Singapore_Grand_Prix|Marina Bay Street Circuit|1.2914|103.864|Marina Bay|Singapore|2014|14|2014-09-21|12:00:00Z|Singapore Grand Prix|105.681|107.47804545454547|106.96600000000001|1.823584577726302|101.70044327224899|101.21592339209508|1.725555755269447
0|suzuka|http://en.wikipedia.org/wiki/2014_Japanese_Grand_Prix|Suzuka Circuit|34.8431|136.541|Suzuka|Japan|2014|15|2014-10-05|06:00:00Z|Japanese Grand Prix|92.506|94.915|94.99199999999999|1.389440894748675|102.60415540613582|102.68739325016756|1.502000837511812
